V1,V2,V3,w1,w2,w3,d1,d2,n,a,b,theta
-98,12,0,23,15,25,7,6,1,81.16650390625,134.78477478027344,1.5045839548110962
-98,12,0,20,11,13,7,5,1,80.58501434326172,126.7518539428711,1.9882423877716064
-98,12,0,26,13,31,7,5,2,100.608154296875,125.8777847290039,0.5491346716880798
-98,12,0,32,12,13,7,5,1,123.70930480957031,125.8516616821289,101.07219696044922
-98,12,-5,32,13,31,5,6,1,123.90966796875,124.7355728149414,122.58483123779297
-98,12,0,23,10,4,7,7,1,78.07925415039062,135.4241180419922,1.7840368747711182
-98,12,0,26,13,19,7,5,2,99.94963836669922,126.06671905517578,0.49920520186424255
-98,12,-5,29,11,7,7,5,2,110.18679809570312,125.39614868164062,0.46961361169815063
-98,12,-5,32,13,19,7,7,1,123.62550354003906,124.4634017944336,127.77257537841797
-98,12,-5,20,15,31,7,7,1,91.33912658691406,114.2081527709961,1.3885952234268188
-98,12,-5,23,11,22,6,5,1,79.66236114501953,134.8953857421875,1.4603352546691895
-98,12,-5,23,11,22,5,7,1,79.25643157958984,135.5249786376953,1.8291022777557373
-98,12,-5,26,11,25,5,6,1,105.67851257324219,126.17870330810547,179.29310607910156
-98,12,-5,35,14,1,7,7,2,111.33675384521484,123.54106903076172,94.7030029296875
-98,12,-5,32,11,25,6,6,2,123.7946548461914,125.18038940429688,101.6370849609375
-98,12,-5,32,14,1,5,6,1,123.91270446777344,124.62247467041016,131.18145751953125
-98,12,0,29,11,4,6,5,1,113.64590454101562,125.10726165771484,179.90280151367188
-98,12,-5,23,15,25,7,5,1,80.21134948730469,133.50650024414062,2.6915106773376465
-98,12,0,23,12,7,7,6,1,78.9446792602539,135.91514587402344,1.657908320426941
-98,12,-5,26,15,10,6,7,2,100.37992095947266,125.63557434082031,0.34650880098342896
-98,12,-5,23,14,31,6,7,1,74.99808502197266,138.18795776367188,2.0540080070495605
-98,12,-5,32,12,7,6,7,1,123.73991394042969,125.5075454711914,101.80640411376953
-98,12,0,29,12,31,6,5,1,111.77891540527344,124.7672119140625,179.9451446533203
-98,12,0,32,15,31,7,7,1,123.54623413085938,126.33143615722656,97.0833969116211
-98,12,-5,35,13,13,6,7,1,110.90662384033203,123.94303894042969,94.4596939086914
-98,12,-5,23,15,4,6,7,1,79.1221923828125,133.2135772705078,1.498348355293274
-98,12,0,23,11,10,5,7,1,81.45336151123047,136.27169799804688,0.9379798173904419
-98,12,0,23,13,10,7,7,1,79.30384063720703,134.51060485839844,1.4152125120162964
-98,12,0,20,12,13,7,7,1,83.06725311279297,124.02088165283203,2.161811113357544
-98,12,-5,35,11,10,5,6,2,110.58882904052734,123.99300384521484,94.06462860107422
-98,12,-5,35,11,7,5,5,1,110.90910339355469,123.16207122802734,93.82913970947266
-98,12,-5,20,12,22,6,5,1,97.38988494873047,109.34133911132812,179.89309692382812
-98,12,-5,20,13,1,6,7,1,94.6204605102539,111.2771987915039,0.3187691271305084
-98,12,0,35,11,25,5,6,1,110.47747802734375,125.80580139160156,92.7160415649414
